Nombre Institucion,Tipo INstitucion,Calle,Estado,Ciudad,Pagina Web,Coordenada Latitud,Coordenada Longitud
ACADEMIA INFANTIL FROBEL,Escuelas de educaci�n preescolar del sector privado,LAS HUERTAS QUINTA SECCION,Baja California,Tijuana                                                                                                       ,WWW.CENTRODEEDUCACIONCONTINUA.UABC.MX,32.48365016,-116.9405834
ACADEMIA REALTIJUANA,Escuelas de deporte del sector privado,20 DE NOVIEMBRE,Baja California,Tijuana                                                                                                       ,WWW.CETYS.MX,32.50902379,-116.9803383
ACADEMIA SOLIS,Escuelas del sector privado dedicadas a la ense�anza de oficios,EL FLORIDO 2DA. SECCI�N,Baja California,Tijuana                                                                                                       ,WWW.CETT.COM.MX,32.46621997,-116.8644921
ACADEMY MELISSA VELAZQUEZ,Escuelas del sector privado dedicadas a la ense�anza de oficios,HACIENDA LAS DELICIAS,Baja California,Tijuana                                                                                                       ,WWW.CENTRODEIDIOMASDETIJUANA.COM,32.40286888,-116.9432273
ACTIVE ENGLISH SCHOOL,Escuelas de idiomas del sector privado,VILLA FONTANA,Baja California,Tijuana                                                                                                       ,WWW.IMDET.TIJUANA.GOB.MX,32.51373453,-116.8708558
ADAGIO STUDIO,Escuelas de arte del sector privado,HUERTAS 2DA. SECCI�N,Baja California,Tijuana                                                                                                       ,WWW.LASALLETIJUANA.COM,32.48811421,-116.9514703
ADRIANA SANCHEZ PRO BEAUTY SCHOOL,Escuelas del sector privado dedicadas a la ense�anza de oficios,MARIANO MATAMOROS (NORTE),Baja California,Tijuana                                                                                                       ,WWW.CITEDI.MX,32.49489743,-116.8832451
AGAPEE,Escuelas de educaci�n preescolar del sector privado,LA MESA,Baja California,Tijuana                                                                                                       ,WWW.CDVRTIJUAN.IPN.MX,32.50258663,-116.9689812
AGENCIA DE CAPACITACION HERNANDEZ,Otros servicios educativos proporcionados por el sector privado,MODULOS 2 NUEVA TIJUANA,Baja California,Tijuana                                                                                                       ,WWW.CENTROEDUCATIVOCALIFORNIAAC.EDU.MX,32.54609854,-116.9299473
AGIMNASIA TIJUANA,Escuelas de deporte del sector privado,20 DE NOVIEMBRE,Baja California,Tijuana                                                                                                       ,WWW.CEDIK.COM,32.51147432,-116.9881217
AIKIDO,Escuelas de deporte del sector privado,LIBERTAD PB,Baja California,Tijuana                                                                                                       ,WWW.CENTROEDUCATIVOMADRID.NET,32.53286902,-117.0102506
AKIDO AIKIKAI,Escuelas de deporte del sector privado,AVIACION,Baja California,Tijuana                                                                                                       ,WWW.CPU.COM.MX,32.5134027,-117.0050108
ALIANZA FRANCESA TIJUANA,Escuelas de idiomas del sector privado,22105,Baja California,Tijuana                                                                                                       ,ESCUELASIGLOXXI.NET,32.50931229,-116.9895541
ALPHA PSICOLOGIA Y EDUCATIVO,Servicios de profesores particulares,BUENA VISTA,Baja California,Tijuana                                                                                                       ,WWW.AUBC.MX,32.51960718,-116.9867696
ALTO BOXING CLUB,Escuelas de deporte del sector privado,MARRON,Baja California,Tijuana                                                                                                       ,WWW.INIPAC.EDUC.MX,32.52390202,-117.0248131
ALVAREZ KARATE TEAM,Escuelas de deporte del sector privado,ZONA NORTE,Baja California,Tijuana                                                                                                       ,WWW.CENYCAUNIVERCIDAD.COM,32.53739082,-117.0493271
AMA TEEN CENTER CENTRO RECREATIVO,Escuelas del sector privado de educaci�n para necesidades especiales,RANCHO LAS FLORES,Baja California,Tijuana                                                                                                       ,WWW.CENYCA.EDU.MX,32.50949072,-117.0889149
AMERICAN ENGLISH SCHOOL,Escuelas de idiomas del sector privado,LOMAS VIRREYES,Baja California,Tijuana                                                                                                       ,WWW.CENYCAUNIVERSIDAD.COM,32.45509678,-116.886671
AMEZCUA TIJUANA FIGHTING CLUB,Escuelas de arte del sector privado,LA CUESTA,Baja California,Tijuana                                                                                                       ,CESCA.MX,32.48415255,-117.0052855
ANDANAC NISSAN 6 TURNO VESPERTINO,Escuelas de educaci�n primaria del sector p�blico,EL DORADO RESIDENCIAL,Baja California,Tijuana                                                                                                       ,WWW.CESCA.MX,32.49231588,-116.8661757
ANSPAC,Otros servicios educativos proporcionados por el sector privado,22100,Baja California,Tijuana                                                                                                       ,WWW.CESCA.MX,32.51458148,-116.9911384
APA KARATE,Escuelas de deporte del sector privado,CAMINO VERDE,Baja California,Tijuana                                                                                                       ,WWW.CESUN.EDU.MX,32.47771561,-116.9709425
API,Servicios de profesores particulares,SANTA FE 5TA SECCION,Baja California,Tijuana                                                                                                       ,CETIS156.EDU.MX,32.43240962,-117.0363198
AQUATOTS,Escuelas de deporte del sector privado,PLAZA PACIFICO,Baja California,Tijuana                                                                                                       ,WWW.CEUNO.COM.MX,32.47744094,-116.9937891
ART POINTE,Escuelas de arte del sector privado,22226,Baja California,Tijuana                                                                                                       ,WWW.GUERREROSAZTECATKD.COM,32.48477652,-116.9273591
ARTE Y PASION DANCE COMPANY,Escuelas de arte del sector privado,20 DE NOVIEMBRE,Baja California,Tijuana                                                                                                       ,WWW.CLUBESCOLAR.COM,32.51379868,-116.9872938
ARTE Y PASION DANCE COMPANY,Escuelas de arte del sector privado,22226,Baja California,Tijuana                                                                                                       ,WWW.COBACHBC.EDU.MX,32.48583835,-116.9269588
ARTES MARCIALES MIXTAS,Escuelas de deporte del sector privado,FIDEL VELAZQUEZ,Baja California,Tijuana                                                                                                       ,WWW.CAE.MX,32.46732392,-116.9166161
ASESORIA CECAPT CENTRO EDUCATIVO,Servicios de profesores particulares,ESMERALDA,Baja California,Tijuana                                                                                                       ,WWW.COLEGIOBC.COM,32.498337,-116.9657362
ASESORIAS PREUNI,Servicios de profesores particulares,ZONA RIO,Baja California,Tijuana                                                                                                       ,WWW.CAE.MX,32.52372578,-117.016885
ASOCIACION DE ROBOTICA EDUCATIVA,Otros servicios educativos proporcionados por el sector privado,REYNOSO,Baja California,Tijuana                                                                                                       ,CALMECACTJ.COM,32.50420968,-116.9770653
ASOCIACION MEXICANA MDK,Escuelas de deporte del sector privado,FRANCISCO VILLA,Baja California,Tijuana                                                                                                       ,WWW.COLEGIOCRICRI.COK,32.50999166,-117.0563133
ASOCIACION MEXICANA MDK,Escuelas de deporte del sector privado,NATURA SECCI�N ARBOLEDAS,Baja California,Tijuana                                                                                                       ,WWW.CUMBRESDEVILLAFLORESTA.COM,32.37378046,-116.9374246
ASOCIACION MEXICANA MDK,Escuelas de deporte del sector privado,INDEPENDENCIA,Baja California,Tijuana                                                                                                       ,WWW.COLEGIODANIELCOSIOVILLEGAS.COM,32.52664913,-117.0446972
ASOCIACION MEXICANA MDK AC,Escuelas de deporte del sector privado,EL FLORIDO II,Baja California,Tijuana                                                                                                       ,WWW.COBACHBC.EDU.MX,32.46672645,-116.8639874
ATENEO DE CIENCIAS UNIVERSITARIAS Y ARTE,Escuelas de educaci�n superior del sector privado,ZONA CENTRO,Baja California,Tijuana                                                                                                       ,WWW.COBACHBC.EDU.MX,32.52732785,-117.0299142
ATOMI,Escuelas comerciales y secretariales del sector privado,22190,Baja California,Tijuana                                                                                                       ,COLEGIODEBELLEZAVALLARTA.COM,32.48860626,-116.9722037
AVANCER CENTRO EDUCATIVO SUPERIOR,Escuelas de educaci�n superior del sector privado,REYNOSO,Baja California,Tijuana                                                                                                       ,WWW.COLEGIODEIMPATICIONESCOLAR,32.50514684,-116.9777656
AZTECA KARATE EXTREMO,Escuelas de deporte del sector privado,CIUDAD JARDIN,Baja California,Tijuana                                                                                                       ,WWW.CONALEP.EDU.MX,32.51781013,-117.0672639
BACHILLERATO INTERAMERICANO ESCOMEX,Escuelas de educaci�n media superior del sector privado,AEROPUERTO,Baja California,Tijuana                                                                                                       ,WWW.COLEGIODEESTUDIOSBASICOS.COM,32.54770124,-116.9634751
BACHILLERATO LICEO UDCI PLANTEL PLAYAS LUD0501247N,Escuelas de educaci�n media superior del sector privado,PLAYAS DE TIJUANA SECCI�N JARDINES,Baja California,Tijuana                                                                                                       ,WWW.CECYTEBC.EDU.MX,32.52684456,-117.1115999
BACHILLERATO MILITARIZADO GRAL ENRIQUE BORDES MANGEL,Escuelas de educaci�n media superior del sector p�blico,22165,Baja California,Tijuana                                                                                                       ,WWW.COLEGIOEIFFEL.COM,32.38007569,-116.9355998
BACHILLERATO POLITECNICO DE BAJA CALIFORNIA,Escuelas de educaci�n media superior del sector privado,VILLA FONTANA,Baja California,Tijuana                                                                                                       ,WWW.EMMADELAVEGA.COM,32.50416493,-116.8534901
BACHILLERATO TECNOLOGICO DE MENVILL INSTITUTO,Escuelas de educaci�n media superior del sector privado,22110,Baja California,Tijuana                                                                                                       ,WWW.COLEGIOESPANOLTIJUANA.COM,32.50296912,-116.9438593
BAJA ENGLISH SCHOOL TJ,Escuelas de idiomas del sector privado,PLAYAS DE TIJUANA SECCI�N TERRAZAS,Baja California,Tijuana                                                                                                       ,WWW.COLEGIOGASTRONOMICODELABAJA.COM,32.5288777,-117.1198565
BALLET IRMA,Escuelas de arte del sector privado,AMERICA,Baja California,Tijuana                                                                                                       ,WWW.COLEGIOHISPANIA.EDU.MX,32.5181717,-117.0206166
BARBERLIFE,Escuelas del sector privado dedicadas a la ense�anza de oficios,GAS Y ANEXAS,Baja California,Tijuana                                                                                                       ,WWW.COLEGIOBILINGUEHOWARDGARDNER.EDU.MX,32.49904454,-116.9663867
BARBERLIFE BARBERSCHOOL,Escuelas del sector privado dedicadas a la ense�anza de oficios,ZONA CENTRO,Baja California,Tijuana                                                                                                       ,WWW.COLEGIOIBEROTIJUANA.EDU.MX,32.53355516,-117.0437807
BE KIDS,Escuelas de arte del sector privado,DAVILA,Baja California,Tijuana                                                                                                       ,RECEPCION_COLINDEPENDENCIA.MX,32.51785097,-117.0233077
BEAUTY HOUSE ESCUELA DE BELLEZA,Escuelas del sector privado dedicadas a la ense�anza de oficios,CHIHUAHUA,Baja California,Tijuana                                                                                                       ,WWW.UNIVERSIDADCIAS.COM,32.50486328,-116.9621973
BERLITZ CENTRO DE ENTRENAMIENTO CORPORATIVO,Escuelas de idiomas del sector privado,ZONA URBANA R�O TIJUANA,Baja California,Tijuana                                                                                                       ,WWW.COLEGIOLAPAZTIJUANA.EDU.MX,32.51900007,-117.0125816
BLACK BELT,Escuelas de deporte del sector privado,BUENA VISTA,Baja California,Tijuana                                                                                                       ,WWW.COLEGIOLATINOAMERICA.EDU.MX,32.51989314,-116.9841591
BLUM CENTRO EDUCATIVO INTEGRAL,Escuelas de educaci�n preescolar del sector privado,HIPODROMO,Baja California,Tijuana                                                                                                       ,WWW.COLEGIOLATINOAMERICA.EDU.MX,32.50344574,-117.0014607
BOSTON COLLEGE,Escuelas del sector privado que combinan diversos niveles de educaci�n,EL FLORIDO,Baja California,Tijuana                                                                                                       ,WWW.MANOAMIGA.EDU.MX,32.45406464,-116.8867354
BOUNA TERRA MONTESSORI,Escuelas de educaci�n preescolar del sector privado,EL PARAISO,Baja California,Tijuana                                                                                                       ,WWW.KOLBEINSTITUTO.EDU.MX,32.50660232,-116.9864137
BOX PEDREGAL,Escuelas de deporte del sector privado,NUEVA AURORA,Baja California,Tijuana                                                                                                       ,MENTORMEXICANO.EDU.MX,32.48390983,-117.0634394
BOX REVOLUXION,Escuelas de deporte del sector privado,ORIZABA,Baja California,Tijuana                                                                                                       ,WWW.COLEGIOLICFIGUEROA,32.48120291,-116.9381252
BOXING MUNGUIA,Escuelas de deporte del sector privado,LA JOYA,Baja California,Tijuana                                                                                                       ,WWW.PAULINI.COM.MX,32.49456343,-117.1008671
BRAVA CUNA,Escuelas de arte del sector privado,OTAY NUEVA TIJUANA,Baja California,Tijuana                                                                                                       ,WWW.PIERREFAURETIJUANA.EDU.MX,32.53711044,-116.937011
BRITISH AMERICAN INSTITUTE,Escuelas del sector privado que combinan diversos niveles de educaci�n,HACIENDA AGUA CALIENTE,Baja California,Tijuana                                                                                                       ,COLEGIOPROTIJUNA.COM.MX,32.48843154,-117.0073241
CAD CENTRO DE DESARROLLO Y APRENDIZAJE,Servicios de profesores particulares,REVOLUCION,Baja California,Tijuana                                                                                                       ,COLEGIOPUERTAABIERTA.COM,32.51984923,-117.0183594
CAE CENTRO ASESORIA EDUCATIVO,Servicios de profesores particulares,MADERO,Baja California,Tijuana                                                                                                       ,WWW.CRI.EDU.MX,32.52125278,-117.0257489
CAM BENITO JUAREZ GARCIA,Escuelas del sector p�blico de educaci�n para necesidades especiales,PLAYAS DE TIJUANA SECCION JARDINES DEL SOL,Baja California,Tijuana                                                                                                       ,WWW.DIRRECIONSYSMARIANOMATAMOROS.COM.MX,32.5143761,-117.1174078
CAM HELLEN KELLER,Escuelas del sector p�blico de educaci�n para necesidades especiales,LOS SANTOS,Baja California,Tijuana                                                                                                       ,WWW.SEBEC.EDU.MX,32.51168024,-116.9718161
CAM PLAYAS DE TIJUANA TM,Escuelas del sector p�blico de educaci�n para necesidades especiales,PLAYAS DE TIJUANA SECCION JARDINES DEL SOL,Baja California,Tijuana                                                                                                       ,WWW.SWISSACADEMY.COM.MX,32.51437054,-117.117269
CAMBRIDG INTUTE,Escuelas de educaci�n primaria del sector privado,CAMINO REAL,Baja California,Tijuana                                                                                                       ,PRINCIPITOPATRIA.COM,32.49683024,-116.9902557
CAMBRIGE INSTITUTE JR HIGH,Escuelas de idiomas del sector privado,EL LAGO,Baja California,Tijuana                                                                                                       ,WWW.CULINARYARTSCHOOL.EDU.MX,32.50788177,-116.9272218
CANOA ESCUELA DE ARTES,Escuelas de arte del sector privado,MARIANO MATAMOROS,Baja California,Tijuana                                                                                                       ,UDETIJUANA.EDU.MX,32.50002775,-116.8898886
CAPACITACION DE DICE�OS EN U�AS ALEJANDRA,Escuelas del sector privado dedicadas a la ense�anza de oficios,LOS ALTOS,Baja California,Tijuana                                                                                                       ,WWW.D4REALITY.COM,32.52312305,-117.0744077
CARATE,Escuelas de deporte del sector privado,MONTEBELLO,Baja California,Tijuana                                                                                                       ,WWW.CASADAKINI.ORG,32.49578881,-116.9838856
CARITA DE DIOS,Escuelas del sector privado de educaci�n para necesidades especiales,URBI VILLA DEL PRADO II,Baja California,Tijuana                                                                                                       ,WWW.EDUCACIONBC.MX,32.41993309,-116.9699203
CARO ISLA SCHOOL,Escuelas del sector privado dedicadas a la ense�anza de oficios,BENTON,Baja California,Tijuana                                                                                                       ,WWW.EDUCATIJUANA.COM,32.49237626,-116.9552897
CASA YOGA BHAKTI,Escuelas de deporte del sector privado,LAS PALMAS,Baja California,Tijuana                                                                                                       ,WWW.COLEF.MX,32.50540471,-116.9860105
CASA YOGA STUDIO,Escuelas de deporte del sector privado,MADERO,Baja California,Tijuana                                                                                                       ,WWW.AERONAUTICATIJUANA.COM,32.51734078,-117.0250934
CAYS,Escuelas de educaci�n superior del sector privado,REVOLUCION,Baja California,Tijuana                                                                                                       ,WWW.CESCA.MX,32.521032,-117.0209502
CBTIS 146 TV,Escuelas de educaci�n media superior del sector p�blico,PLAYAS DE TIJUANA SECCION COSTA HERMOSA,Baja California,Tijuana                                                                                                       ,WWW.ESCUELAPAVLOVA.COM,32.51437795,-117.1142732
CBTIS 237 DGETI,Escuelas de educaci�n media superior del sector p�blico,MARIANO MATAMOROS (CENTRO),Baja California,Tijuana                                                                                                       ,WWW.CRUZROJAMEXICANA.COM,32.47967659,-116.8822884
CBTIS 278,Escuelas de educaci�n media superior del sector p�blico,QUINTA DEL CEDRO,Baja California,Tijuana                                                                                                       ,WWW.ESCUELADEGASTRONOMIA.COM,32.44177239,-117.0503739
CBTIS NUM 277,Escuelas de educaci�n media superior del sector p�blico,VALLE DE LAS PALMAS,Baja California,Valle de las Palmas [Etapa 1]                                                                                 ,WWW.ACADEMIALANGLAB.COM,32.40928953,-116.7372538
CCATEC,Escuelas del sector privado dedicadas a la ense�anza de oficios,LOPEZ LEYVA,Baja California,Tijuana                                                                                                       ,WWW.JKOMEXICO.COM,32.52417492,-116.9969626
CCIR CENTRO DE CAPACITACION INTEGRAL ROMAN,Escuelas del sector privado dedicadas a la ense�anza de oficios,LAS PALMAS,Baja California,Tijuana                                                                                                       ,WWW.ESCUELADEMANEJOCONTINENTAL.COM,32.50755721,-116.9814425
CEAC CENTRO DE APRENDIZAJE CONTINUO,Servicios de profesores particulares,PRESIDENTES,Baja California,Tijuana                                                                                                       ,WWW.ESCUELADEMANEJOJD.COM,32.49168102,-116.9129234
CEBIN,Escuelas de educaci�n media superior del sector privado,ZONA CENTRO,Baja California,Tijuana                                                                                                       ,WWW.KENSIGTONGLC.COM,32.53127708,-117.0431788
CEBIN PREPARATORIA,Escuelas de educaci�n media superior del sector privado,MARIANO MATAMOROS,Baja California,Tijuana                                                                                                       ,WWW.CECYTEBC.EDU.MX,32.48452342,-116.8806214
CECAP CENTRO DE CAPACITACION DEL PRADO,Escuelas de educaci�n media superior del sector privado,URBY VILLAS DEL PRADO,Baja California,Tijuana                                                                                                       ,WWW.CECYTEBC.EDU.MX,32.40603205,-116.967142
CECAP CENTRO DE CAPACITACION DEL PRADO,Escuelas de educaci�n media t�cnica terminal del sector privado,CEDROS,Baja California,Tijuana                                                                                                       ,WWW.JUANERNESTOGAMALIELESPINOSASAUCEDO,32.44083015,-117.0650502
CECYTE,Escuelas de educaci�n media superior del sector p�blico,URBI VILLA DEL PRADO II,Baja California,Tijuana                                                                                                       ,SITE.GOOLE.COMEDUVC.MXSECUNDARIA-118INICIO,32.42203552,-116.9741296
CECYTE BC EL PACIFICO,Escuelas de educaci�n media superior del sector p�blico,COLINAS DE BAJA CALIFORNIA,Baja California,Tijuana                                                                                                       ,ESCUELASECUNDARIATECNICA29.WORDPRESS.COM/AVISOS/,32.46946371,-117.0054204
CECYTE BC PLANTEL CACHANILLA,Escuelas de educaci�n media superior del sector p�blico,PASEO DE LAS LOMAS,Baja California,Tijuana                                                                                                       ,JN.FELIPECAVADAGMAIL.COM,32.4777286,-116.961161
CECYTE BC PLANTEL PLAYAS,Escuelas de educaci�n media superior del sector p�blico,RESIDENCIAL ISLA CEDROS,Baja California,Tijuana                                                                                                       ,WWW.AMADOLEON.COM,32.43462323,-117.0462259
CECYTE EL FLORIDO,Escuelas de educaci�n media superior del sector p�blico,LAS ABEJAS,Baja California,Tijuana                                                                                                       ,WWWESTANCIAUNIVERSOMAGYCO.COM,32.46819901,-116.8631843
CECYTE PLANTEL LA PRESA,Escuelas de educaci�n media superior del sector p�blico,LOMAS DE LA PRESA,Baja California,Tijuana                                                                                                       ,WWW.UABC.MX,32.4489956,-116.9276552
CECYTE PLANTEL LAZARO CARDENAS,Escuelas de educaci�n media superior del sector p�blico,EJIDO LAZARO CARDENAS,Baja California,Tijuana                                                                                                       ,WWW.UABC.MX,32.40921828,-116.9872182
CECYTE PREPARATORIA LAS GUILAS TURNO VESPERTINO,Escuelas de educaci�n media superior del sector p�blico,RINCONADA,Baja California,Tijuana                                                                                                       ,INSTITUTOALTAZOR.COM,32.54756373,-116.8772863
CEMSAD,Escuelas de educaci�n media superior del sector p�blico,LOS SANTOS,Baja California,Tijuana                                                                                                       ,WWW.HARMONHALL.COM,32.51387815,-116.9702815
CENTRO AERONAUTICO DE TIJUANA,Escuelas de educaci�n t�cnica superior del sector privado,PLAZA ALAMEDA,Baja California,Tijuana                                                                                                       ,WWW.HUMANITAS.EDU.MX,32.53130284,-116.9540943
CENTRO COMUNITARIO EJIDO FRANCISCO VILLA CUARTA SECCION,Escuelas del sector p�blico que combinan diversos niveles de educaci�n,FRANCISCO VILLA,Baja California,Tijuana                                                                                                       ,WWW.ISPEAKENGLISH.COM,32.48313397,-116.8413302
CENTRO COMUNITARIO EL DORADO,Escuelas del sector p�blico que combinan diversos niveles de educaci�n,EL DORADO RESIDENCIAL,Baja California,Tijuana                                                                                                       ,WWW.TIJUAN.IBERO.MX,32.49207486,-116.8647227
CENTRO COMUNITARIO EL RANCHITO,Escuelas del sector p�blico que combinan diversos niveles de educaci�n,VILLAS DEL CAMPO,Baja California,Villa del Campo                                                                                               ,WWW.IBEROTIJUANA.EDU.MX,32.50505816,-116.7428725
CENTRO COMUNITARIO LA MORITA PRIMERA SECCION,Escuelas del sector p�blico que combinan diversos niveles de educaci�n,MORITA 1RA SECCION,Baja California,Tijuana                                                                                                       ,WWW.IDAP.COM.MX,32.47289685,-116.8415416
CENTRO DE ARTES MUSICALES SIN NOMBRE,Escuelas de arte del sector privado,22226,Baja California,Tijuana                                                                                                       ,WWW.IDIOMACENTER.COM,32.48472571,-116.9256957
CENTRO DE ASISTENCIA Y SERVICIOS TECNOLOGICOS CONALEP BC,Escuelas de educaci�n media superior del sector p�blico,LOS SANTOS,Baja California,Tijuana                                                                                                       ,WWW.INSTITUTOALTAZOR.COM,32.51310848,-116.9711427
CENTRO DE ATENCION CAEL,Escuelas del sector privado de educaci�n para necesidades especiales,EL FLORIDO 1RA. SECCI�N,Baja California,Tijuana                                                                                                       ,WWW.INSTITUTOARANGURE.COM,32.46215835,-116.8741997
CENTRO DE ATENCION MULTIPLE DE LA FRONTERA,Escuelas del sector p�blico de educaci�n para necesidades especiales,GUAYCURA,Baja California,Tijuana                                                                                                       ,WWW.ICOLINAS.COM,32.49607901,-116.9194885
CENTRO DE ATENCION MULTIPLE GABRIELA BRIMMER,Escuelas del sector p�blico de educaci�n para necesidades especiales,OTAY TECNOLOGICO,Baja California,Tijuana                                                                                                       ,WWW.INSTITUTOCUMBRES.COM,32.53149738,-116.9266907
CENTRO DE ATENCION MULTIPLE JARDIN,Escuelas del sector p�blico de educaci�n para necesidades especiales,GUAYCURA,Baja California,Tijuana                                                                                                       ,WWW.ESTETICAIVETH.COM,32.49493664,-116.9192734
CENTRO DE ATENCION MULTIPLE JARDIN GUAYCURA,Escuelas del sector p�blico de educaci�n para necesidades especiales,GUAYCURA,Baja California,Tijuana                                                                                                       ,WWW.PREPASIGLO21,32.49493664,-116.9192734
CENTRO DE ATENCION MULTIPLE MARIANO MATAMOROS,Escuelas del sector p�blico de educaci�n para necesidades especiales,FLORIDO,Baja California,Tijuana                                                                                                       ,WWW.IEUNIVERSIDAD.COM.MX,32.46726459,-116.8787775
CENTRO DE ATENCION MULTIPLE MESA DE OTAY,Escuelas del sector p�blico de educaci�n para necesidades especiales,OTAY TECNOLOGICO,Baja California,Tijuana                                                                                                       ,GASTRONOMIAIGBC.COM,32.53149406,-116.9266265
CENTRO DE ATENCION MUTIPLE LABORAL GILBERTO RINCON GALLARDO,Escuelas del sector p�blico de educaci�n para necesidades especiales,PLAYAS DE TIJUANA SECCION JARDINES DEL SOL,Baja California,Tijuana                                                                                                       ,FGEBC.GOB.MX,32.51437628,-117.117004
CENTRO DE ATENCION PSICOPEDAGOGICA DE EDUCACION PREESCOLAR,Escuelas de educaci�n preescolar del sector p�blico,LOS SANTOS,Baja California,Tijuana                                                                                                       ,INSTITUTOFRONTERA.EDU.MX,32.51256313,-116.9682595
CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS 116,Escuelas de educaci�n media superior del sector p�blico,NUEVA TIJUANA,Baja California,Tijuana                                                                                                       ,WWW.INSTITUTOINJUS.CO,32.53993136,-116.9250738
CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NO146,Escuelas de educaci�n media superior del sector p�blico,PLAYAS DE TIJUANA SECCION COSTA HERMOSA,Baja California,Tijuana                                                                                                       ,WWW.IMANSECUNDARIAYPREPARATORIA.EDU.MX,32.51437795,-117.1142732
CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y SERVICIOS CEBETIS NO 155,Escuelas de educaci�n media superior del sector p�blico,FRACC VALLE DEL RUBI,Baja California,Tijuana                                                                                                       ,WWW.IMBC.MX,32.48288368,-117.0339807
CENTRO DE BACHILLERATO TECNOLOGICO SIGLO XXI,Escuelas de educaci�n media superior del sector privado,TORRES DEL MATAMOROS,Baja California,Tijuana                                                                                                       ,WWW.IMM.EDU.MX,32.49107804,-116.876434
CENTRO DE CAPACITACION CASA BLANCA,Escuelas del sector privado dedicadas a la ense�anza de oficios,MATAMOROS NORTE CENTRO SUR,Baja California,Tijuana                                                                                                       ,WWW.INEA.COM.MX,32.50142263,-116.8915262
